Mod:Item:MetaData, Localized Name
industrialupgrade:upgrademodules:19, Modification Module: Posion
industrialupgrade:upgrademodules:20, Modification Module: Wither
industrialupgrade:upgrademodules:21, Modification Module: Silk Touch
industrialupgrade:upgrademodules:22, Modification Module: Invisibility
industrialupgrade:upgrademodules:23, Modification Module: Looting
industrialupgrade:upgrademodules:24, Modification Module: Flame
industrialupgrade:upgrademodules:25, Modification Module: Accumulation of charge
industrialupgrade:upgrademodules:26, Modification Module: Luck
industrialupgrade:upgrademodules:27, Modification Module: Efficiency
industrialupgrade:upgrademodules:28, Modification Module: Melting
industrialupgrade:upgrademodules:29, Modification Module: Night Vision
industrialupgrade:upgrademodules:30, Modification Module: Thorns
industrialupgrade:upgrademodules:31, Modification Module: More experience
industrialupgrade:upgrademodules:32, Modification Module: Blindness
industrialupgrade:upgrademodules:33, Modification Module: Arrow Protection
industrialupgrade:upgrademodules:34, Modification Module: Effective Fall
industrialupgrade:upgrademodules:35, Modification Module: Macerator
industrialupgrade:upgrademodules:36, Modification Module: Ore Macerator
industrialupgrade:upgrademodules:37, Modification Module: Treasures
industrialupgrade:upgrademodules:38, Modification Module: Hunger
industrialupgrade:upgrademodules:39, Modification Module: Generator
industrialupgrade:upgrademodules:40, Modification Module: Auto Collection
industrialupgrade:upgrademodules:41, Modification Module: Creative Flight
industrialupgrade:upgrademodules:42, Modification Module: Magnet Power
industrialupgrade:upgrademodules:43, Modification Module: Economical Charging
industrialupgrade:upgrademodules:44, Modification Module: Free Cleaning
industrialupgrade:upgrademodules:45, Modification Module: Treetap Power
industrialupgrade:upgrademodules:46, Modification Module: Wrench
industrialupgrade:quarrymodules:0, Module: Smelting ores
industrialupgrade:quarrymodules:1, Module: Efficiency I
industrialupgrade:quarrymodules:2, Module: Efficiency II
industrialupgrade:quarrymodules:3, Module: Efficiency III
industrialupgrade:quarrymodules:4, Module: Efficiency IV
industrialupgrade:quarrymodules:5, Module: Efficiency V
industrialupgrade:quarrymodules:6, Module: Luck I
industrialupgrade:quarrymodules:7, Module: Luck II
industrialupgrade:quarrymodules:8, Module: Luck III
industrialupgrade:quarrymodules:9, Module: Region 3x3
industrialupgrade:quarrymodules:10, Module: Region 5x5
industrialupgrade:quarrymodules:11, Module: Region 7x7
industrialupgrade:quarrymodules:12, Module: Blacklist
industrialupgrade:quarrymodules:13, Module: Whitelist
industrialupgrade:quarrymodules:14, Module: Macerator
industrialupgrade:quarrymodules:15, Module: Ore Macerator
industrialupgrade:lead_box, item.lead_box.name.name
industrialupgrade:windrod:0, Wood Rotor Blade
industrialupgrade:windrod:1, Bronze Rotor Blade
industrialupgrade:windrod:2, Iron Rotor Blade
industrialupgrade:windrod:3, Steel Rotor Blade
industrialupgrade:windrod:4, Carbon Rotor Blade
industrialupgrade:windrod:5, Iridium Rotor Blade
industrialupgrade:windrod:6, Compressed Iridium Rotor Blade
industrialupgrade:windrod:7, Spectral Rotor Blade
industrialupgrade:windrod:8, Mythical Rotor Blade
industrialupgrade:windrod:9, Neutron Rotor Blade
industrialupgrade:windrod:10, Photonic Rotor Blade
industrialupgrade:windrod:11, Baryon Rotor Blade
industrialupgrade:windrod:12, Hadron Rotor Blade
industrialupgrade:windrod:13, Ultramarine Rotor Blade
industrialupgrade:qe_iu_item:0, Quantum Energy Cable
industrialupgrade:se_iu_item:0, Solar Energy Cable
industrialupgrade:exp_iu_item:0, Experience Cable
industrialupgrade:itemadvbatchargecrystal, Charging Advenced Energy Crystal
industrialupgrade:itembatchargecrystal, Charging Perfect Energy Crystal
industrialupgrade:upgradekitstorage:0, MFE Upgrade Kit
industrialupgrade:upgradekitstorage:1, MFSU Upgrade Kit
industrialupgrade:upgradekitstorage:2, Improved MFSU Upgrade Kit
industrialupgrade:upgradekitstorage:3, Advanced MFSU Upgrade Kit
industrialupgrade:upgradekitstorage:4, Perfect MFSU Upgrade Kit
industrialupgrade:upgradekitstorage:5, Baryon MFSU Upgrade Kit
industrialupgrade:upgradekitstorage:6, Hadron MFSU Upgrade Kit
industrialupgrade:upgradekitstorage:7, Graviton MFSU Upgrade Kit
industrialupgrade:upgradekitstorage:8, Quark MFSU Upgrade Kit
industrialupgrade:sintezator_item:0, Panel Combiner
industrialupgrade:refiner_item:0, Oil Refinery
industrialupgrade:adv_refiner_item:0, Advanced Oil Refinery
industrialupgrade:upgrades:0, Improved Overclocker Upgrade
industrialupgrade:upgrades:1, Advanced Overclocker Upgrade
industrialupgrade:upgrades:2, Transformer Upgrade x2
industrialupgrade:upgrades:3, Transformer Upgrade x4
industrialupgrade:gravitool, item.GraviTool.name
industrialupgrade:adminpanel_item:0, §8Administrative Solar Panel
industrialupgrade:quarry_vein_item:0, Core Search Drilling Rig
industrialupgrade:cable_iu_item:0, §aSpectral Cable
industrialupgrade:cable_iu_item:1, §9Protonic Cable
industrialupgrade:cable_iu_item:2, §eSingular Cable
industrialupgrade:cable_iu_item:3, §6Mythical Cable
industrialupgrade:cable_iu_item:4, §5Quantum Cable
industrialupgrade:cable_iu_item:5, §dPhotonic Cable
industrialupgrade:cable_iu_item:6, §3Neutron Cable
industrialupgrade:cable_iu_item:7, §bPerfect Cable
industrialupgrade:cable_iu_item:8, §6Universe Cable
industrialupgrade:cable_iu_item:9, §cDiffractive Cable
industrialupgrade:cable_iu_item:10, §7Infinity Cable
industrialupgrade:pipes_iu_item:0, Heat Pipe
industrialupgrade:pipes_iu_item:1, Improved Heat Pipe
industrialupgrade:pipes_iu_item:2, Advanced Heat Pipe
industrialupgrade:pipes_iu_item:3, Perfect Heat Pipe
industrialupgrade:pipes_iu_item:4, Quantum Heat Pipe
industrialupgrade:fluid_tank_item:0, Liquid Tank
industrialupgrade:fluid_tank_item:1, Improved Liquid Tank
industrialupgrade:fluid_tank_item:2, Advanced Liquid Tank
industrialupgrade:fluid_tank_item:3, Perfect Liquid Tank
industrialupgrade:reactordepletedterastrellsimple, iu.reactorDepletedterastrellSimple.name
industrialupgrade:reactordepletedterastrelldual, iu.reactorDepletedterastrellDual.name
industrialupgrade:reactordepletedterastrellquad, iu.reactorDepletedterastrellQuad.name
industrialupgrade:reactorterastrellsimple, iu.actorterastrellSimple.name
industrialupgrade:reactorterastrelldual, iu.actorterastrellDual.name
industrialupgrade:reactorterastrellquad, iu.actorterastrellQuad.name
industrialupgrade:ruby_helmet, Ruby Helmet
industrialupgrade:ruby_chestplate, Ruby Chestplate
industrialupgrade:ruby_leggings, Ruby Leggings
industrialupgrade:ruby_boots, Ruby Boots
industrialupgrade:topaz_helmet, Topaz Helmet
industrialupgrade:topaz_chestplate, Topaz Chestplate
industrialupgrade:topaz_leggings, Topaz Leggings
industrialupgrade:topaz_boots, Topaz Boots
industrialupgrade:sapphire_helmet, Sapphire Helmet
industrialupgrade:sapphire_chestplate, Sapphire Chestplate
industrialupgrade:sapphire_leggings, Sapphire Leggings
industrialupgrade:sapphire_boots, Sapphire Boots
industrialupgrade:hazmathelmet, Nuclear Fusion Radiation Suit Helmet
industrialupgrade:hazmatchest, Nuclear Fusion Radiation Suit Tunic
industrialupgrade:hazmatleggins, Nuclear Fusion Radiation Suit Leggings
industrialupgrade:hazmatboosts, Nuclear Fusion Radiation Suit Boots
industrialupgrade:itemarmornanohelmet, supersolarpanels.itemArmorNanoHelmet.name
industrialupgrade:itemarmornanochestplate, supersolarpanels.itemArmorNanoChestplate.name
industrialupgrade:itemarmornanolegs, supersolarpanels.itemArmorNanoLegs.name
industrialupgrade:itemarmornanoboots, supersolarpanels.itemArmorNanoBoots.name
industrialupgrade:iu_bags, item.iu_bags.name.name
industrialupgrade:adv_iu_bags, item.adv_iu_bags.name.name
industrialupgrade:imp_iu_bags, item.imp_iu_bags.name.name
industrialupgrade:itembatlamacrystal, Improved Energy Crystal
industrialupgrade:iridium, Iridium Ore
industrialupgrade:compressiridium, iu.compressiridium.name
industrialupgrade:spectral, iu.spectral.name
industrialupgrade:myphical, iu.myphical.name
industrialupgrade:photon, iu.photon.name
industrialupgrade:neutron, iu.neutron.name
industrialupgrade:barionrotor, iu.barionrotor.name
industrialupgrade:adronrotor, iu.adronrotor.name
industrialupgrade:ultramarinerotor, iu.ultramarinerotor.name
industrialupgrade:reactordepletedprotonsimple, iu.reactordepletedprotonsimple.name
industrialupgrade:reactordepletedprotondual, iu.reactordepletedprotondual.name
industrialupgrade:reactordepletedprotonquad, iu.reactordepletedprotonquad.name
industrialupgrade:reactordepletedprotoneit, iu.reactordepletedprotoneit.name
industrialupgrade:reactorprotonsimple, iu.actorprotonsimple.name
industrialupgrade:reactorprotondual, iu.actorprotondual.name
industrialupgrade:reactorprotonquad, iu.actorprotonquad.name
industrialupgrade:reactorprotoneit, iu.actorprotoneit.name
industrialupgrade:reactordepletedtoriysimple, iu.reactordepletedtoriysimple.name
industrialupgrade:reactordepletedtoriydual, iu.reactordepletedtoriydual.name
industrialupgrade:reactordepletedtoriyquad, iu.reactordepletedtoriyquad.name
industrialupgrade:reactortoriysimple, iu.actortoriysimple.name
industrialupgrade:reactortoriydual, iu.actortoriydual.name
industrialupgrade:reactortoriyquad, iu.actortoriyquad.name
industrialupgrade:reactordepletedamericiumsimple, iu.reactordepletedamericiumsimple.name
industrialupgrade:reactordepletedamericiumdual, iu.reactordepletedamericiumdual.name
industrialupgrade:reactordepletedamericiumquad, iu.reactordepletedamericiumquad.name
industrialupgrade:reactoramericiumsimple, iu.actoramericiumsimple.name
industrialupgrade:reactoramericiumdual, iu.actoramericiumdual.name
industrialupgrade:reactoramericiumquad, iu.actoramericiumquad.name
industrialupgrade:reactordepletedneptuniumsimple, iu.reactordepletedneptuniumsimple.name
industrialupgrade:reactordepletedneptuniumdual, iu.reactordepletedneptuniumdual.name
industrialupgrade:reactordepletedneptuniumquad, iu.reactordepletedneptuniumquad.name
industrialupgrade:reactorneptuniumsimple, iu.actorneptuniumsimple.name
industrialupgrade:reactorneptuniumdual, iu.actorneptuniumdual.name
industrialupgrade:reactorneptuniumquad, iu.actorneptuniumquad.name
industrialupgrade:reactordepletedcuriumsimple, iu.reactordepletedcuriumsimple.name
industrialupgrade:reactordepletedcuriumdual, iu.reactordepletedcuriumdual.name
industrialupgrade:reactordepletedcuriumquad, iu.reactordepletedcuriumquad.name
industrialupgrade:reactorcuriumsimple, iu.actorcuriumsimple.name
industrialupgrade:reactorcuriumdual, iu.actorcuriumdual.name
industrialupgrade:reactorcuriumquad, iu.actorcuriumquad.name
industrialupgrade:reactordepletedcaliforniasimple, iu.reactordepletedcaliforniasimple.name
industrialupgrade:reactordepletedcaliforniadual, iu.reactordepletedcaliforniadual.name
industrialupgrade:reactordepletedcaliforniaquad, iu.reactordepletedcaliforniaquad.name
industrialupgrade:reactorcaliforniasimple, iu.actorcaliforniasimple.name
industrialupgrade:reactorcaliforniadual, iu.actorcaliforniadual.name
industrialupgrade:reactorcaliforniaquad, iu.actorcaliforniaquad.name
industrialupgrade:reactordepletedmendeleviumsimple, iu.reactordepletedmendeleviumsimple.name
industrialupgrade:reactordepletedmendeleviumdual, iu.reactordepletedmendeleviumdual.name
industrialupgrade:reactordepletedmendeleviumquad, iu.reactordepletedmendeleviumquad.name
industrialupgrade:reactormendeleviumsimple, iu.actormendeleviumsimple.name
industrialupgrade:reactormendeleviumdual, iu.actormendeleviumdual.name
industrialupgrade:reactormendeleviumquad, iu.actormendeleviumquad.name
industrialupgrade:reactordepletedberkeliumsimple, iu.reactordepletedberkeliumsimple.name
industrialupgrade:reactordepletedberkeliumdual, iu.reactordepletedberkeliumdual.name
industrialupgrade:reactordepletedberkeliumquad, iu.reactordepletedberkeliumquad.name
industrialupgrade:reactorberkeliumsimple, iu.actorberkeliumsimple.name
industrialupgrade:reactorberkeliumdual, iu.actorberkeliumdual.name
industrialupgrade:reactorberkeliumquad, iu.actorberkeliumquad.name
industrialupgrade:reactordepletedeinsteiniumsimple, iu.reactordepletedeinsteiniumsimple.name
industrialupgrade:reactordepletedeinsteiniumdual, iu.reactordepletedeinsteiniumdual.name
industrialupgrade:reactordepletedeinsteiniumquad, iu.reactordepletedeinsteiniumquad.name
industrialupgrade:reactoreinsteiniumsimple, iu.actoreinsteiniumsimple.name
industrialupgrade:reactoreinsteiniumdual, iu.actoreinsteiniumdual.name
industrialupgrade:reactoreinsteiniumquad, iu.actoreinsteiniumquad.name
industrialupgrade:reactordepleteduran233simple, iu.reactordepleteduran233simple.name
industrialupgrade:reactordepleteduran233dual, iu.reactordepleteduran233dual.name
industrialupgrade:reactordepleteduran233quad, iu.reactordepleteduran233quad.name
industrialupgrade:reactoruran233simple, iu.actoruran233simple.name
industrialupgrade:reactoruran233dual, iu.actoruran233dual.name
industrialupgrade:reactoruran233quad, iu.actoruran233quad.name
industrialupgrade:katana, iu.katana.name
industrialupgrade:circuit:0, Nano Capacitor
industrialupgrade:circuit:1, Quantum Capacitor
industrialupgrade:circuit:2, Spectral Capacitor
industrialupgrade:circuit:3, Nano SOIC Chip
industrialupgrade:circuit:4, Quantum SOIC Chip
industrialupgrade:circuit:5, Spectral SOIC Chip
industrialupgrade:circuit:6, Nano QFP Chip
industrialupgrade:circuit:7, Quantum QFP Chip
industrialupgrade:circuit:8, Spectral QFP Chip
industrialupgrade:circuit:9, Nano Circuit
industrialupgrade:circuit:10, Quantum Circuit
industrialupgrade:circuit:11, §dSpectral Circuit
industrialupgrade:circuit:12, Advanced Capacitor
industrialupgrade:circuit:13, Advanced SOIC Chip
industrialupgrade:circuit:14, Advanced QFP Chip
industrialupgrade:circuit:15, Capacitor
industrialupgrade:circuit:16, SOIC Chip
industrialupgrade:circuit:17, QFP Chip
industrialupgrade:circuit:18, Photonic Capacitor
industrialupgrade:circuit:19, Photonic SOIC Chip
industrialupgrade:circuit:20, Photonic QFP Chip
industrialupgrade:circuit:21, §aPhotonic Circuit
industrialupgrade:lens:0, Air Lens
industrialupgrade:lens:1, Earth Lens
industrialupgrade:lens:2, Nether Lens
industrialupgrade:lens:3, Ender Lens
industrialupgrade:lens:4, Night Lens
industrialupgrade:lens:5, Sun Lens
industrialupgrade:lens:6, Rain Lens
industrialupgrade:paints:0, Empty Paint Can
industrialupgrade:paints:1, Light Blue Paint
industrialupgrade:paints:2, Yellow Paint
industrialupgrade:paints:3, Green Paint
industrialupgrade:paints:4, Red Paint
industrialupgrade:paints:5, Orange Paint
industrialupgrade:paints:6, Blue Paint
industrialupgrade:paints:7, Purple Paint
industrialupgrade:paints:8, Turquoise Paint
industrialupgrade:paints:9, White Paint
industrialupgrade:paints:10, Light Yellow Paint
industrialupgrade:paints:11, Lime Paint
industrialupgrade:coolpipes_iu_item:0, Cooling Pipe
industrialupgrade:coolpipes_iu_item:1, Improved Cooling Pipe
industrialupgrade:coolpipes_iu_item:2, Advanced Cooling Pipe
industrialupgrade:coolpipes_iu_item:3, Perfect Cooling Pipe
industrialupgrade:coolpipes_iu_item:4, Quantum Cooling Pipe
industrialupgrade:photoniumglass:0, §8Advanced Glass
industrialupgrade:photoniumglass:1, §3Hybrid Glass
industrialupgrade:photoniumglass:2, §9Perfect Glass
industrialupgrade:photoniumglass:3, §2Quantum Glass
industrialupgrade:photoniumglass:4, §eSpectral Glass
industrialupgrade:photoniumglass:5, §5Protonic Glass
industrialupgrade:photoniumglass:6, §8Singular Glass
industrialupgrade:photoniumglass:7, §cDiffractive Glass
industrialupgrade:photoniumglass:8, §aPhotonic Glass
industrialupgrade:photoniumglass:9, Neutron Glass
industrialupgrade:photoniumglass:10, Baryon Glass
industrialupgrade:photoniumglass:11, Hadron Glass
industrialupgrade:photoniumglass:12, Graviton Glass
industrialupgrade:photoniumglass:13, Quark Glass
industrialupgrade:solidmatter:0, Solid Matter
industrialupgrade:solidmatter:1, Solar Solid Matter
industrialupgrade:solidmatter:2, Water Solid Matter
industrialupgrade:solidmatter:3, Nether Solid Matter
industrialupgrade:solidmatter:4, Night Solid Matter
industrialupgrade:solidmatter:5, Earth Solid Matter
industrialupgrade:solidmatter:6, Ender Solid Matter
industrialupgrade:solidmatter:7, Air Solid Matter
industrialupgrade:spawnermodules:0, Hunter Module: Looting I
industrialupgrade:spawnermodules:1, Hunter Module: Looting II
industrialupgrade:spawnermodules:2, Hunter Module: Looting III
industrialupgrade:spawnermodules:3, Hunter Module: Speed
industrialupgrade:spawnermodules:4, Hunter Module: Experience +25%
industrialupgrade:spawnermodules:5, Hunter Module: Experience +50%
industrialupgrade:spawnermodules:6, Hunter Module: 2 Mobs
industrialupgrade:spawnermodules:7, Hunter Module: 3 Mobs
industrialupgrade:spawnermodules:8, Hunter Module: Plot of Fire
industrialupgrade:itemingots:0, Michalov Ingot
industrialupgrade:itemingots:1, Aluminium Ingot
industrialupgrade:itemingots:2, Vanadium Ingot
industrialupgrade:itemingots:3, Tungsten Ingot
industrialupgrade:itemingots:4, Invar Ingot
industrialupgrade:itemingots:5, Caravky Ingot
industrialupgrade:itemingots:6, Cobalt Ingot
industrialupgrade:itemingots:7, Magnesium Ingot
industrialupgrade:itemingots:8, Nickel Ingot
industrialupgrade:itemingots:9, Platinum Ingot
industrialupgrade:itemingots:10, Titanium Ingot
industrialupgrade:itemingots:11, Chromium Ingot
industrialupgrade:itemingots:12, Spinel Ingot
industrialupgrade:itemingots:13, Electrum Ingot
industrialupgrade:itemingots:14, Silver Ingot
industrialupgrade:itemingots:15, Zinc Ingot
industrialupgrade:itemingots:16, Manganese Ingot
industrialupgrade:itemingots:17, Iridium Ingot
industrialupgrade:itemingots:18, Germanium Ingot
industrialupgrade:itemdust:0, Michalov Dust
industrialupgrade:itemdust:1, Aluminium Dust
industrialupgrade:itemdust:2, Vanadium Dust
industrialupgrade:itemdust:3, Tungsten Dust
industrialupgrade:itemdust:4, Invar Dust
industrialupgrade:itemdust:5, Caravky Dust
industrialupgrade:itemdust:6, Cobalt Dust
industrialupgrade:itemdust:7, Magnesium Dust
industrialupgrade:itemdust:8, Nickel Dust
industrialupgrade:itemdust:9, Platinum Dust
industrialupgrade:itemdust:10, Titanium Dust
industrialupgrade:itemdust:11, Chromium Dust
industrialupgrade:itemdust:12, Spinel Dust
industrialupgrade:itemdust:13, Electrum Dust
industrialupgrade:itemdust:14, Silver Dust
industrialupgrade:itemdust:15, Zinc Dust
industrialupgrade:itemdust:16, Manganese Dust
industrialupgrade:itemdust:17, Iridium Dust
industrialupgrade:itemdust:18, Germanium Dust
industrialupgrade:nugget:0, Michalov Nugget
industrialupgrade:nugget:1, Aluminium Nugget
industrialupgrade:nugget:2, Vanadium Nugget
industrialupgrade:nugget:3, Tungsten Nugget
industrialupgrade:nugget:4, Invar Nugget
industrialupgrade:nugget:5, Caravky Nugget
industrialupgrade:nugget:6, Cobalt Nugget
industrialupgrade:nugget:7, Magnesium Nugget
industrialupgrade:nugget:8, Nickel Nugget
industrialupgrade:nugget:9, Platinum Nugget
industrialupgrade:nugget:10, Titanium Nugget
industrialupgrade:nugget:11, Chromium Nugget
industrialupgrade:nugget:12, Spinel Nugget
industrialupgrade:nugget:13, Electrum Nugget
industrialupgrade:nugget:14, Silver Nugget
industrialupgrade:nugget:15, Zinc Nugget
industrialupgrade:nugget:16, Manganese Nugget
industrialupgrade:nugget:17, Iridium Nugget
industrialupgrade:nugget:18, Germanium Nugget
industrialupgrade:casing:0, Michalov Item Casing
industrialupgrade:casing:1, Aluminium Item Casing
industrialupgrade:casing:2, Vanadium Item Casing
industrialupgrade:casing:3, Tungsten Item Casing
industrialupgrade:casing:4, Invar Item Casing
industrialupgrade:casing:5, Caravky Item Casing
industrialupgrade:casing:6, Cobalt Item Casing
industrialupgrade:casing:7, Magnesium Item Casing
industrialupgrade:casing:8, Nickel Item Casing
industrialupgrade:casing:9, Platinum Item Casing
industrialupgrade:casing:10, Titanium Item Casing
industrialupgrade:casing:11, Chromium Item Casing
industrialupgrade:casing:12, Spinel Item Casing
industrialupgrade:casing:13, Electrum Item Casing
industrialupgrade:casing:14, Silver Item Casing
industrialupgrade:casing:15, Zinc Item Casing
industrialupgrade:casing:16, Manganese Item Casing
industrialupgrade:casing:17, Iridium Item Casing
industrialupgrade:casing:18, Germanium Item Casing
industrialupgrade:crushed:0, Crushed Michalov Ore
industrialupgrade:crushed:1, Crushed Aluminium Ore
industrialupgrade:crushed:2, Crushed Vanadium Ore
industrialupgrade:crushed:3, Crushed Tungsten Ore
industrialupgrade:crushed:6, Crushed Cobalt Ore
industrialupgrade:crushed:7, Crushed Magnesium Ore
industrialupgrade:crushed:8, Crushed Nickel Ore
industrialupgrade:crushed:9, Crushed Platinum Ore
industrialupgrade:crushed:10, Crushed Titanium Ore
industrialupgrade:crushed:11, Crushed Chromium Ore
industrialupgrade:crushed:12, Crushed Spinel Ore
industrialupgrade:crushed:14, Crushed Silver Ore
industrialupgrade:crushed:15, Crushed Zinc Ore
industrialupgrade:crushed:16, Crushed Manganese Ore
industrialupgrade:crushed:17, Crushed Iridium Ore
industrialupgrade:crushed:18, Crushed Germanium Ore
industrialupgrade:itemdoubleplates:0, Dense Michalov Plate
industrialupgrade:itemdoubleplates:1, Dense Aluminium Plate
industrialupgrade:itemdoubleplates:2, Dense Vanadium Plate
industrialupgrade:itemdoubleplates:3, Dense Tungsten Plate
industrialupgrade:itemdoubleplates:4, Dense Invar Plate
industrialupgrade:itemdoubleplates:5, Dense Caravky Plate
industrialupgrade:itemdoubleplates:6, Dense Cobalt Plate
industrialupgrade:itemdoubleplates:7, Dense Magnesium Plate
industrialupgrade:itemdoubleplates:8, Dense Nickel Plate
industrialupgrade:itemdoubleplates:9, Dense Platinum Plate
industrialupgrade:itemdoubleplates:10, Dense Titanium Plate
industrialupgrade:itemdoubleplates:11, Dense Chromium Plate
industrialupgrade:itemdoubleplates:12, Dense Spinel Plate
industrialupgrade:itemdoubleplates:13, Dense Electrum Plate
industrialupgrade:itemdoubleplates:14, Dense Silver Plate
industrialupgrade:itemdoubleplates:15, Dense Zinc Plate
industrialupgrade:itemdoubleplates:16, Dense Manganese Plate
industrialupgrade:itemdoubleplates:17, Dense Iridium Plate
industrialupgrade:itemdoubleplates:18, Dense Germanium Plate
industrialupgrade:itemplates:0, Michalov Plate
industrialupgrade:itemplates:1, Aluminium Plate
industrialupgrade:itemplates:2, Vanadium Plate
industrialupgrade:itemplates:3, Tungsten Plate
industrialupgrade:itemplates:4, Invar Plate
industrialupgrade:itemplates:5, Caravky Plate
industrialupgrade:itemplates:6, Cobalt Plate
industrialupgrade:itemplates:7, Magnesium Plate
industrialupgrade:itemplates:8, Nickel Plate
industrialupgrade:itemplates:9, Platinum Plate
industrialupgrade:itemplates:10, Titanium Plate
industrialupgrade:itemplates:11, Chromium Plate
industrialupgrade:itemplates:12, Spinel Plate
industrialupgrade:itemplates:13, Electrum Plate
industrialupgrade:itemplates:14, Silver Plate
industrialupgrade:itemplates:15, Zinc Plate
industrialupgrade:itemplates:16, Manganese Plate
industrialupgrade:itemplates:17, Iridium Plate
industrialupgrade:itemplates:18, Germanium Plate
industrialupgrade:purifiedcrushed:0, Purified Crushed Michalov Ore
industrialupgrade:purifiedcrushed:1, Purified Crushed Aluminium Ore
industrialupgrade:purifiedcrushed:2, Purified Crushed Vanadium Ore
industrialupgrade:purifiedcrushed:3, Purified Crushed Tungsten Ore
industrialupgrade:purifiedcrushed:6, Purified Crushed Cobalt Ore
industrialupgrade:purifiedcrushed:7, Purified Crushed Magnesium Ore
industrialupgrade:purifiedcrushed:8, Purified Crushed Nickel Ore
industrialupgrade:purifiedcrushed:9, Purified Crushed Platinum Ore
industrialupgrade:purifiedcrushed:10, Purified Crushed Titanium Ore
industrialupgrade:purifiedcrushed:11, Purified Crushed Chromium Ore
industrialupgrade:purifiedcrushed:12, Purified Crushed Spinel Ore
industrialupgrade:purifiedcrushed:14, Purified Crushed Silver Ore
industrialupgrade:purifiedcrushed:15, Purified Crushed Zinc Ore
industrialupgrade:purifiedcrushed:16, Purified Crushed Manganese Ore
industrialupgrade:purifiedcrushed:17, Purified Crushed Iridium Ore
industrialupgrade:purifiedcrushed:18, Purified Crushed Germanium Ore
industrialupgrade:smalldust:0, Small Pile of Michalov Dust
industrialupgrade:smalldust:1, Small Pile of Aluminium Dust
industrialupgrade:smalldust:2, Small Pile of Vanadium Dust
industrialupgrade:smalldust:3, Small Pile of Tungsten Dust
industrialupgrade:smalldust:4, Small Pile of Invar Dust
industrialupgrade:smalldust:5, Small Pile of Caravky Dust
industrialupgrade:smalldust:6, Small Pile of Cobalt Dust
industrialupgrade:smalldust:7, Small Pile of Magnesium Dust
industrialupgrade:smalldust:8, Small Pile of Nickel Dust
industrialupgrade:smalldust:9, Small Pile of Platinum Dust
industrialupgrade:smalldust:10, Small Pile of Titanium Dust
industrialupgrade:smalldust:11, Small Pile of Chromium Dust
industrialupgrade:smalldust:12, Small Pile of Spinel Dust
industrialupgrade:smalldust:13, Small Pile of Electrum Dust
industrialupgrade:smalldust:14, Small Pile of Silver Dust
industrialupgrade:smalldust:15, Small Pile of Zinc Dust
industrialupgrade:smalldust:16, Small Pile of Manganese Dust
industrialupgrade:smalldust:17, Small Pile of Iridium Dust
industrialupgrade:smalldust:18, Small Pile of Germanium Dust
industrialupgrade:verysmalldust:0, Tiny Pile of Michalov Dust
industrialupgrade:verysmalldust:1, Tiny Pile of Aluminium Dust
industrialupgrade:verysmalldust:2, Tiny Pile of Vanadium Dust
industrialupgrade:verysmalldust:3, Tiny Pile of Tungsten Dust
industrialupgrade:verysmalldust:4, Tiny Pile of Invar Dust
industrialupgrade:verysmalldust:5, Tiny Pile of Caravky Dust
industrialupgrade:verysmalldust:6, Tiny Pile of Cobalt Dust
industrialupgrade:verysmalldust:7, Tiny Pile of Magnesium Dust
industrialupgrade:verysmalldust:8, Tiny Pile of Nickel Dust
industrialupgrade:verysmalldust:9, Tiny Pile of Platinum Dust
industrialupgrade:verysmalldust:10, Tiny Pile of Titanium Dust
industrialupgrade:verysmalldust:11, Tiny Pile of Chromium Dust
industrialupgrade:verysmalldust:12, Tiny Pile of Spinel Dust
industrialupgrade:verysmalldust:13, Tiny Pile of Electrum Dust
industrialupgrade:verysmalldust:14, Tiny Pile of Silver Dust
industrialupgrade:verysmalldust:15, Tiny Pile of Zinc Dust
industrialupgrade:verysmalldust:16, Tiny Pile of Manganese Dust
industrialupgrade:verysmalldust:17, Tiny Pile of Iridium Dust
industrialupgrade:verysmalldust:18, Tiny Pile of Germanium Dust
industrialupgrade:stik:0, Michalov Stick
industrialupgrade:stik:1, Aluminium Stick
industrialupgrade:stik:2, Vanadium Stick
industrialupgrade:stik:3, Tungsten Stick
industrialupgrade:stik:4, Invar Stick
industrialupgrade:stik:5, Caravky Stick
industrialupgrade:stik:6, Cobalt Stick
industrialupgrade:stik:7, Magnesium Stick
industrialupgrade:stik:8, Nickel Stick
industrialupgrade:stik:9, Platinum Stick
industrialupgrade:stik:10, Titanium Stick
industrialupgrade:stik:11, Chromium Stick
industrialupgrade:stik:12, Spinel Stick
industrialupgrade:stik:13, Electrum Stick
industrialupgrade:stik:14, Silver Stick
industrialupgrade:stik:15, Zinc Stick
industrialupgrade:stik:16, Manganese Stick
industrialupgrade:stik:17, Iridium Stick
industrialupgrade:stik:18, Germanium Stick
industrialupgrade:modules:0, Module: Generate at Day I
industrialupgrade:modules:1, Module: Generate at Day II
industrialupgrade:modules:2, Module: Generate at Day III
industrialupgrade:modules:3, Module: Generate at Night I
industrialupgrade:modules:4, Module: Generate at Night II
industrialupgrade:modules:5, Module: Generate at Night III
industrialupgrade:modules:6, Module: Storage I
industrialupgrade:modules:7, Module: Storage II
industrialupgrade:modules:8, Module: Storage III
industrialupgrade:modules:9, Module: Output I
industrialupgrade:modules:10, Module: Output II
industrialupgrade:modules:11, Module: Output III
industrialupgrade:modules:12, Module: Morning, afternoon and evening I
